name,wxt_ra,wxt_dec,fxt_ra,fxt_dec,z,GRB_name,GRB,GBM_cover,gamma_flux_peak,gamma_flux_peak_err_minus,gamma_flux_peak_err_plus,gamma_upperlimit,det_cover,gamma_source,SN_name,T0,T100,lc_complete_strict,lc_complete_general,auto_obs,Td100,Td90,Td90_err_minus,Td90_err_plus,Td50,Td50_err_minus,Td50_err_plus,nH_Galactic,nH_Intrinsic,nH_Intrinsic_err_minus,nH_Intrinsic_err_plus,PhoIndex_avg,PhoIndex_avg_err_minus,PhoIndex_avg_err_plus,flux_avg,flux_avg_err_minus,flux_avg_err_plus,peak_time_start_seconds_to_T0,peak_time_end_seconds_to_T0,peak_spec_time_start_seconds_to_T0,peak_spec_time_end_seconds_to_T0,PhoIndex_peak,PhoIndex_peak_err_minus,PhoIndex_peak_err_plus,flux_peak,flux_peak_err,fluence,fluence_err_minus,fluence_err_plus,luminosity_avg,luminosity_avg_err_minus,luminosity_avg_err_plus,luminosity_peak,luminosity_peak_err,Eiso_rest,Eiso_rest_err_minus,Eiso_rest_err_plus,cstat,dof,BIC,input_row,fxt_position_available,optical_counterpart_identified,optical_name,optical_ra_deg,optical_dec_deg,ra_deg,dec_deg,coordinate_source,search_radius_arcsec,status,candidate_count,nearest_name,nearest_ra_deg,nearest_dec_deg,nearest_z,nearest_sep_arcsec,aladin_path,aladin_notebook_path,cat_table_path,error
EP240506a,213.973,-16.707,0.0,0.0,0.12,-,0,1,0.0,0.0,0.0,1.14305303067591e-08,"KW,GBM",GBM,AT 2024ofs,2024-05-06T05:01:40.450,2024-05-06T05:02:31.050,1,1,0,50.6,41.081,4.008,2.004,22.044,8.517,1.503,0.0927,0.3602,0.1416,0.591,1.508,0.339,1.159,2.5875e-09,3.667e-10,1.8867e-09,6.012,6.513,0.0,50.6,1.529,0.373,0.39,2.3474e-08,1.455e-08,1.3093e-07,1.8555e-08,9.5468e-08,1.0361e+47,1.4683e+46,7.554700000000001e+46,9.3992e+47,5.8259e+47,4.9875000000000006e+48,9.737e+47,3.3223e+48,7.63509266055869,14,16.1347326927273,13,False,True,AT 2024ofs,213.95885833,-16.66081667,213.95885833,-16.66081667,optical_counterpart,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240506a/aladin.html,examples/WXT_results_summary_data/EP240506a/aladin.ipynb,examples/WXT_results_summary_data/EP240506a/cat_table.csv,
EP240617a,285.031,-22.559,0.0,0.0,0.0,GRB 240617A,1,1,8.03946484574819e-08,1.4656047808783e-08,1.68879601610419e-08,0.0,"KW,GBM",GBM,-,2024-06-17T12:18:47.050,2024-06-17T12:24:03.750,0,0,0,316.7,210.633,3.002,4.003,78.55,7.505,4.503,0.169,2.2134,0.7869,0.8312,1.537,0.173,0.159,4.2891e-09,2.413e-10,3.0764e-10,274.673,275.174,271.674,278.174,1.248,0.317,0.356,3.1978e-08,1.4325e-08,1.3584e-06,7.6419e-08,9.7431e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.405600499903,157,124.631121945604,14,False,False,,,,285.031,-22.559,wxt_ra/wxt_dec,190.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240617a/aladin.html,examples/WXT_results_summary_data/EP240617a/aladin.ipynb,examples/WXT_results_summary_data/EP240617a/cat_table.csv,
EP240618a,281.622,23.824,281.6456,23.8354,0.0,-,0,1,0.0,0.0,0.0,1.17348371604065e-08,"KW,GBM",GBM,-,2024-06-18T05:43:51.000,2024-06-18T05:45:48.500,1,1,0,117.5,59.0,2.0,9.0,23.0,1.5,4.5,0.198,5.7516,1.7134,4.3012,1.833,0.257,0.643,3.3483e-09,3.9254e-10,1.2686e-09,7.0,7.5,0.0,23.0,1.676,0.343,0.416,2.1615e-08,1.3037e-08,3.9343e-07,4.6123e-08,1.4907e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5196264295552,45,78.1332294622789,15,True,False,,,,281.6456,23.8354,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240618a/aladin.html,examples/WXT_results_summary_data/EP240618a/aladin.ipynb,examples/WXT_results_summary_data/EP240618a/cat_table.csv,
EP240625a,310.762,-15.967,310.7317,-15.9741,0.0,-,0,1,0.0,0.0,0.0,1.2664141163018e-08,"KW,GBM",GBM,-,2024-06-25T01:48:23.200,2024-06-25T01:53:20.650,1,1,0,297.45,242.959,26.496,12.998,71.988,21.576,22.996,0.0479,1.6116,0.5801,3.5543,2.26,0.196,1.283,3.2498e-10,2.9392e-11,1.9702e-10,120.98,121.979,59.98,182.98,2.046,0.351,0.421,3.6112e-09,2.6429e-09,9.6666e-08,8.7426e-09,5.8605e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2899218591942,25,23.2865353897198,16,True,False,,,,310.7317,-15.9741,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240625a/aladin.html,examples/WXT_results_summary_data/EP240625a/aladin.ipynb,examples/WXT_results_summary_data/EP240625a/cat_table.csv,
EP240626a,263.032,-13.047,263.0174,-13.0491,0.0,-,0,1,0.0,0.0,0.0,1.20921579154603e-08,"KW,GBM",GBM,-,2024-06-26T06:28:28.800,2024-06-26T06:31:03.100,1,1,0,154.3,128.334,12.983,9.488,47.938,5.493,4.494,0.321,8.3524,2.651,5.086,3.096,0.473,0.775,3.1369e-09,8.3686e-10,2.7838e-09,76.9,77.4,56.9,97.4,2.996,0.456,0.509,3.1647e-08,1.9383e-08,4.8403e-07,1.2913e-07,4.2955e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6825503376319,39,54.8955591924821,17,True,False,,,,263.0174,-13.0491,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240626a/aladin.html,examples/WXT_results_summary_data/EP240626a/aladin.ipynb,examples/WXT_results_summary_data/EP240626a/cat_table.csv,
EP240702a,328.222,-38.964,0.0,0.0,0.0,-,0,1,0.0,0.0,0.0,9.76340009116306e-09,"KW,GBM",GBM,-,2024-07-02T00:48:59.050,2024-07-02T00:51:17.250,1,1,0,138.2,87.627,19.528,17.525,15.522,1.001,2.504,0.0188,1.4769,0.723,1.4875,1.741,0.223,0.416,1.7838e-09,1.7329e-10,2.8265e-10,75.609,76.11,72.109,79.61,1.151,0.308,0.312,3.1107e-08,1.3254e-08,2.4652e-07,2.3949e-08,3.9063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.66975183973,56,77.9023641714472,18,False,False,,,,328.222,-38.964,wxt_ra/wxt_dec,190.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240702a/aladin.html,examples/WXT_results_summary_data/EP240702a/aladin.ipynb,examples/WXT_results_summary_data/EP240702a/cat_table.csv,
EP240703a,273.804,-9.68,0.0,0.0,0.0,GRB 240703A,1,0,1.35e-07,3.29e-08,3.29e-08,0.0,KW,KW,-,2024-07-03T00:38:38.500,2024-07-03T00:46:11.800,1,1,0,453.3,291.871,42.481,41.482,58.974,4.998,9.996,0.582,22.5258,5.5001,9.879,1.473,0.309,0.512,3.6367e-09,6.1085e-10,1.6337e-09,116.948,117.448,109.448,124.948,1.249,0.46,0.433,8.4609e-08,4.058e-08,1.6485e-06,2.769e-07,7.4057e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.744836955362,82,83.072790724833,19,False,False,,,,273.804,-9.68,wxt_ra/wxt_dec,190.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240703a/aladin.html,examples/WXT_results_summary_data/EP240703a/aladin.ipynb,examples/WXT_results_summary_data/EP240703a/cat_table.csv,
EP240703b,279.538,-57.407,0.0,0.0,0.0,GRB 240703B,1,0,9.3e-08,3.06e-08,6.5e-08,0.0,KW,KW,-,2024-07-03T05:25:13.000,2024-07-03T05:34:08.600,1,1,0,535.6,451.584,36.507,5.501,111.021,16.503,10.002,0.0947,0.6854,0.3284,1.2502,1.435,0.125,0.32,8.0222e-10,5.7029e-11,9.2188e-11,253.047,253.547,240.547,266.047,1.695,0.343,0.373,6.5865e-09,4.8329e-09,4.2967e-07,3.0545e-08,4.9376e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0465745536703,89,98.6119402848174,20,False,False,,,,279.538,-57.407,wxt_ra/wxt_dec,190.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240703b/aladin.html,examples/WXT_results_summary_data/EP240703b/aladin.ipynb,examples/WXT_results_summary_data/EP240703b/cat_table.csv,
EP240708a,345.96,-22.837,345.965,-22.8433,0.0,-,0,0,0.0,0.0,0.0,1.21010349852009e-07,KW,KW,-,2024-07-08T23:28:25.100,2024-07-08T23:48:40.700,1,1,0,1215.6,955.079,45.504,201.517,396.033,115.51,292.524,0.025,0.9318,0.0,4.1526,1.923,0.312,0.437,7.8247e-11,1.673e-11,1.4221e-11,25.002,26.002,0.0,219.502,2.377,0.398,0.444,3.7025e-09,2.2713e-09,9.5117e-08,2.0337e-08,1.7287e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8003876549752,34,36.9674255318874,21,True,False,,,,345.965,-22.8433,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240708a/aladin.html,examples/WXT_results_summary_data/EP240708a/aladin.ipynb,examples/WXT_results_summary_data/EP240708a/cat_table.csv,
EP240801a,345.127,32.598,345.1632,32.5928,1.673,XRF 240801B,1,1,2.5502143927358e-08,8.203317907176471e-09,9.7489221998346e-09,0.0,GBM,GBM,SN 2024aihh,2024-08-01T09:06:20.300,2024-08-01T09:11:28.050,0,1,1,307.75,149.878,3.997,1.998,47.461,2.498,2.498,0.0976,2.2396,0.4864,0.4996,2.168,0.171,0.168,2.839e-09,1.7994e-10,2.2242e-10,98.92,99.419,96.92,101.419,1.47,0.365,0.385,4.2028e-08,1.4333e-08,8.7371e-07,5.5377e-08,6.845e-08,5.5648e+49,3.5271e+48,4.3597e+48,8.238000000000001e+50,2.8093999999999998e+50,5.4454e+51,8.8898e+50,1.1042e+51,170.915011446975,152,186.045286797733,22,True,True,SN 2024aihh,345.16257917,32.59366667,345.16257917,32.59366667,optical_counterpart,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240801a/aladin.html,examples/WXT_results_summary_data/EP240801a/aladin.ipynb,examples/WXT_results_summary_data/EP240801a/cat_table.csv,
EP240802a,287.802,-2.362,287.8071,-2.3122,0.0,GRB 240802A,1,0,2.02e-06,3.76e-07,3.77e-07,0.0,KW,KW,-,2024-08-02T10:33:18.250,2024-08-02T10:40:28.050,1,1,0,429.8,334.344,22.989,10.495,172.92,11.994,4.498,0.413,1.2185,0.0,2.6633,1.184,0.15,0.149,2.5105e-09,1.7607e-10,1.9719e-10,93.457,93.956,81.956,105.456,0.079,0.376,0.347,3.9509e-08,2.3873e-08,1.079e-06,7.5673e-08,8.4752e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6623878096205,89,84.6841068226542,23,True,False,,,,287.8071,-2.3122,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240802a/aladin.html,examples/WXT_results_summary_data/EP240802a/aladin.ipynb,examples/WXT_results_summary_data/EP240802a/cat_table.csv,
EP240804a,337.649,-39.099,337.6638,-39.1243,3.662,GRB 240804B,1,0,8.45e-08,2.87e-08,2.87e-08,0.0,KW,KW,-,2024-08-04T21:35:18.950,2024-08-04T22:10:08.700,0,0,1,2089.75,1049.126,294.535,510.561,251.53,23.503,46.006,0.0139,0.0043,0.0,5.8833,1.24,0.195,0.227,8.6215e-11,1.3487e-11,1.2113e-11,138.017,138.517,116.016,160.517,1.458,0.431,0.674,3.2007e-09,2.4931e-09,1.8017e-07,2.8184e-08,2.5313e-08,1.1242999999999999e+49,1.7587e+48,1.5796000000000002e+48,4.1738e+50,3.251e+50,1.5909e+52,5.0232e+51,6.3617e+51,107.76759486637,111,117.222370503795,24,True,False,,,,337.6638,-39.1243,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240804a/aladin.html,examples/WXT_results_summary_data/EP240804a/aladin.ipynb,examples/WXT_results_summary_data/EP240804a/cat_table.csv,
EP240806a,11.491,5.091,11.4863,5.0941,2.818,-,0,1,0.0,0.0,0.0,1.05568299344203e-08,"KW,GBM",GBM,-,2024-08-06T04:47:54.650,2024-08-06T04:51:50.300,1,1,0,235.65,107.568,11.007,24.015,37.524,5.504,4.503,0.0373,4.0092,1.5928,3.1564,2.127,0.29,0.505,9.8629e-10,8.2692e-11,2.3674e-10,41.526,42.027,31.026,52.527,1.985,0.349,0.381,1.1347e-08,6.8625e-09,2.3242e-07,1.9486e-08,5.5788e-08,6.8717e+49,5.7613e+48,1.6493999999999998e+49,7.9056e+50,4.7813e+50,3.6348e+51,1.7555e+51,2.0064000000000002e+51,32.6870634720542,51,44.654015611747,25,True,False,,,,11.4863,5.0941,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240806a/aladin.html,examples/WXT_results_summary_data/EP240806a/aladin.ipynb,examples/WXT_results_summary_data/EP240806a/cat_table.csv,
EP240807a,300.97,-68.777,300.966,-68.7854,0.0,GRB 240807A,1,1,1.20588857254958e-07,2.76250773447785e-08,4.13837198303687e-08,0.0,"KW,GBM",GBM,-,2024-08-07T05:42:46.750,2024-08-07T05:44:00.600,1,1,0,73.85,54.889,5.988,2.994,26.945,6.487,4.99,0.0525,4.1954,2.0872,6.1362,2.011,0.383,1.123,2.9896e-09,4.984e-10,2.4669e-09,2.495,3.493,0.0,73.85,2.019,0.363,0.425,1.7932e-08,1.0814e-08,2.2078e-07,3.6807e-08,1.8218e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2712966749463,17,29.2584934956082,26,True,False,,,,300.966,-68.7854,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240807a/aladin.html,examples/WXT_results_summary_data/EP240807a/aladin.ipynb,examples/WXT_results_summary_data/EP240807a/cat_table.csv,
EP240816a,292.925,-54.411,292.9685,-54.4057,0.0,-,0,1,0.0,0.0,0.0,2.57353420362044e-08,"KW,GBM",GBM,-,2024-08-16T03:27:49.550,2024-08-16T03:32:24.800,1,1,0,275.25,204.185,39.536,45.541,78.071,16.095,17.015,0.0463,2.9716,1.2799,3.3609,1.866,0.35,0.85,4.3e-10,5.8588e-11,1.5834e-10,57.052,57.552,10.552,104.052,1.877,0.351,0.404,7.9552e-09,5.819e-09,1.1836e-07,1.6126e-08,4.3582e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5911356612418,28,33.8930972746972,27,True,False,,,,292.9685,-54.4057,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240816a/aladin.html,examples/WXT_results_summary_data/EP240816a/aladin.ipynb,examples/WXT_results_summary_data/EP240816a/cat_table.csv,
EP240816b,16.014,15.4,16.016,15.415,0.0,-,0,1,0.0,0.0,0.0,1.04845743601583e-08,"KW,GBM",GBM,-,2024-08-16T01:44:25.400,2024-08-16T01:45:17.550,1,1,1,52.15,42.623,2.507,1.504,19.556,5.014,5.516,0.0522,6.6452,2.1751,5.1754,3.622,0.696,1.372,2.8456e-09,8.4942e-10,5.2564e-09,47.637,48.138,4.637,52.15,3.578,0.412,0.497,1.6414e-08,1.1952e-08,1.484e-07,4.4297e-08,2.7412e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8712263928493,17,41.8584232135113,28,True,False,,,,16.016,15.415,fxt_ra/fxt_dec,20.0,no_candidates,0,,,,,,examples/WXT_results_summary_data/EP240816b/aladin.html,examples/WXT_results_summary_data/EP240816b/aladin.ipynb,examples/WXT_results_summary_data/EP240816b/cat_table.csv,
